trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
116,False,"{'a': 0.8, 'e': 0.8364626499151869}",25,0,-77.27741348718537,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
117,False,"{'a': 0.8, 'e': 0.8337120858870376}",25,0,-115.55344162122816,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
118,False,"{'a': 0.8, 'e': 0.8309406791001634}",30,0,-140.3468612259858,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
119,False,"{'a': 0.8, 'e': 0.8281484988395901}",25,0,-2.742975748338959,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
120,False,"{'a': 0.8, 'e': 0.8253356149096783}",25,0,-34.8273325976035,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
121,False,"{'a': 0.8, 'e': 0.82250209763238}",20,4,-49.58205844625069,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 1}",1
122,False,"{'a': 0.8, 'e': 0.8196480178454795}",30,0,-89.38708126580016,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 2}",0
123,False,"{'a': 0.8, 'e': 0.8167734469008229}",25,0,-35.514052630862935,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
124,False,"{'a': 0.8, 'e': 0.8138784566625339}",20,0,-65.40881886576318,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
125,False,"{'a': 0.8, 'e': 0.8109631195052179}",30,0,-122.85602995396351,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
126,False,"{'a': 0.8, 'e': 0.8080275083121519}",25,6,-10.646282673434904,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
127,False,"{'a': 0.8, 'e': 0.8050716964734628}",25,0,-239.6002212012123,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 5}",0
128,False,"{'a': 0.8, 'e': 0.8020957578842927}",25,0,-121.17064874543317,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
129,False,"{'a': 0.8, 'e': 0.7990997669429512}",30,0,-92.39510947749335,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
130,False,"{'a': 0.8, 'e': 0.7960837985490559}",30,7,-90.40221499363976,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 2}",1
